TS,C1:M200.r2521[0],C2:M200.r2665,C3:M200.r78[0],Label
2020-08-04 13:34:33.232862,38920.0,39676.0,-3.6686089999999996,0
2020-08-04 13:34:33.238861,39007.0,39676.0,-3.6333860000000002,0
2020-08-04 13:34:33.243861,39007.0,39676.0,-3.950625,0
2020-08-04 13:34:33.248863,39093.0,39676.0,-3.9933669999999997,0
2020-08-04 13:34:33.254861,39093.0,39676.0,-3.739082,0
2020-08-04 13:34:33.259861,39178.0,39676.0,-3.8268379999999995,0
2020-08-04 13:34:33.264861,39178.0,39676.0,-4.0002949999999995,0
2020-08-04 13:34:33.269872,39263.0,39676.0,-3.845772,0
2020-08-04 13:34:33.275861,39263.0,39998.0,-4.083838,0
2020-08-04 13:34:33.281867,39348.0,39998.0,-4.462682,0
2020-08-04 13:34:33.287862,39348.0,39998.0,-4.341401,0
2020-08-04 13:34:33.292888,39432.0,39998.0,-4.076556,0
2020-08-04 13:34:33.298888,39432.0,39998.0,-4.2014580000000015,0
2020-08-04 13:34:33.304863,39515.0,39998.0,-4.565938,0
2020-08-04 13:34:33.309898,39515.0,39998.0,-4.566222,0
2020-08-04 13:34:33.316864,39597.0,39998.0,-4.328458,0
2020-08-04 13:34:33.322868,39597.0,40309.0,-4.375221,0
2020-08-04 13:34:33.328871,39679.0,40309.0,-4.611951,0
2020-08-04 13:34:33.334863,39679.0,40309.0,-4.433895,0
2020-08-04 13:34:33.339893,39760.0,40309.0,-4.589226999999998,0
2020-08-04 13:34:33.345897,39760.0,40309.0,-4.838935,0
2020-08-04 13:34:33.351867,39841.0,40309.0,-4.790141,0
2020-08-04 13:34:33.356893,39841.0,40309.0,-4.462459,0
2020-08-04 13:34:33.362866,39922.0,40309.0,-4.536383,0
2020-08-04 13:34:33.368861,39922.0,40609.0,-5.06126,0
2020-08-04 13:34:33.373883,40002.0,40609.0,-5.363862,0
2020-08-04 13:34:33.378897,40002.0,40609.0,-5.27375,0
2020-08-04 13:34:33.384893,40081.0,40609.0,-5.246397,0
2020-08-04 13:34:33.391068,40081.0,40609.0,-5.346165,0
2020-08-04 13:34:33.396892,40160.0,40609.0,-5.1966230000000015,0
2020-08-04 13:34:33.401897,40160.0,40609.0,-5.192521,0
2020-08-04 13:34:33.407862,40238.0,40609.0,-5.454497,0
2020-08-04 13:34:33.412862,40238.0,40899.0,-5.707212,0
2020-08-04 13:34:33.418892,40315.0,40899.0,-5.577854,0
2020-08-04 13:34:33.423892,40315.0,40899.0,-5.382283,0
2020-08-04 13:34:33.429882,40392.0,40899.0,-5.575,0
2020-08-04 13:34:33.435876,40392.0,40899.0,-5.878888,0
2020-08-04 13:34:33.441883,40468.0,40899.0,-5.991349,0
2020-08-04 13:34:33.447863,40468.0,40899.0,-5.734654,0
2020-08-04 13:34:33.452867,40543.0,40899.0,-5.688857,0
2020-08-04 13:34:33.458865,40543.0,41178.0,-5.859639,0
2020-08-04 13:34:33.463898,40618.0,41178.0,-5.759183999999999,0
2020-08-04 13:34:33.469863,40618.0,41178.0,-5.6989230000000015,0
2020-08-04 13:34:33.474864,40692.0,41178.0,-5.961295,0
2020-08-04 13:34:33.479898,40692.0,41178.0,-6.16282,0
2020-08-04 13:34:33.484899,40766.0,41178.0,-5.9601,0
2020-08-04 13:34:33.490859,40766.0,41178.0,-5.731153,0
2020-08-04 13:34:33.496859,40839.0,41178.0,-5.775428,0
2020-08-04 13:34:33.501897,40839.0,41446.0,-6.185236,0
2020-08-04 13:34:33.507861,40911.0,41446.0,-6.53735,0
2020-08-04 13:34:33.512888,40911.0,41446.0,-6.444248,0
2020-08-04 13:34:33.518863,40983.0,41446.0,-6.280591,0
2020-08-04 13:34:33.524859,40983.0,41446.0,-6.452533,0
2020-08-04 13:34:33.529859,41054.0,41446.0,-6.603648,0
2020-08-04 13:34:33.534861,41054.0,41446.0,-6.484474,0
2020-08-04 13:34:33.540871,41124.0,41446.0,-6.371154,0
2020-08-04 13:34:33.546859,41124.0,41704.0,-6.703521,0
2020-08-04 13:34:33.551882,41194.0,41704.0,-6.870439999999999,0
2020-08-04 13:34:33.557898,41194.0,41704.0,-6.9295800000000005,0
2020-08-04 13:34:33.562913,41263.0,41704.0,-6.909932,0
2020-08-04 13:34:33.568864,41263.0,41704.0,-6.922692999999999,0
2020-08-04 13:34:33.573899,41331.0,41704.0,-7.371726,0
2020-08-04 13:34:33.579864,41331.0,41704.0,-7.502223,0
2020-08-04 13:34:33.584867,41399.0,41704.0,-7.299092,0
2020-08-04 13:34:33.589897,41399.0,41952.0,-7.165347,0
2020-08-04 13:34:33.595895,41466.0,41952.0,-7.352766,0
2020-08-04 13:34:33.600902,41466.0,41952.0,-7.6320630000000005,0
2020-08-04 13:34:33.606898,41533.0,41952.0,-7.622553,0
2020-08-04 13:34:33.612897,41533.0,41952.0,-7.595614,0
2020-08-04 13:34:33.618897,41599.0,41952.0,-7.9037169999999985,0
2020-08-04 13:34:33.623898,41599.0,41952.0,-8.028922999999999,0
2020-08-04 13:34:33.628899,41664.0,41952.0,-8.196584,0
2020-08-04 13:34:33.634865,41664.0,42189.0,-8.105934,0
2020-08-04 13:34:33.639897,41729.0,42189.0,-8.035666,0
2020-08-04 13:34:33.645897,41729.0,42189.0,-8.092881,0
2020-08-04 13:34:33.651877,41793.0,42189.0,-8.461196000000001,0
2020-08-04 13:34:33.657863,41793.0,42189.0,-8.547674,0
2020-08-04 13:34:33.662895,41857.0,42189.0,-8.426734,0
2020-08-04 13:34:33.668863,41857.0,42189.0,-8.342099000000001,0
2020-08-04 13:34:33.673898,41920.0,42189.0,-8.527262,0
2020-08-04 13:34:33.678903,41920.0,42415.0,-8.876161999999997,0
2020-08-04 13:34:33.684875,41982.0,42415.0,-8.887148,0
2020-08-04 13:34:33.689898,41982.0,42415.0,-8.82708,0
2020-08-04 13:34:33.694898,42043.0,42415.0,-8.735149,0
2020-08-04 13:34:33.700863,42043.0,42415.0,-8.912603,0
2020-08-04 13:34:33.705892,42104.0,42415.0,-9.053925999999999,0
2020-08-04 13:34:33.710897,42104.0,42415.0,-9.087877,0
2020-08-04 13:34:33.716892,42164.0,42415.0,-8.801256,0
2020-08-04 13:34:33.721897,42164.0,42631.0,-8.816333,0
2020-08-04 13:34:33.726898,42223.0,42631.0,-8.881401,0
2020-08-04 13:34:33.732874,42223.0,42631.0,-9.056441,0
2020-08-04 13:34:33.737897,42282.0,42631.0,-9.092282,0
2020-08-04 13:34:33.742897,42282.0,42631.0,-8.911474,0
2020-08-04 13:34:33.747898,42339.0,42631.0,-8.686223,0
2020-08-04 13:34:33.753897,42339.0,42631.0,-8.745656,0
2020-08-04 13:34:33.759897,42396.0,42631.0,-8.805716,0
2020-08-04 13:34:33.764909,42396.0,42836.0,-8.955523,0
2020-08-04 13:34:33.770862,42452.0,42836.0,-8.756399,0
2020-08-04 13:34:33.776859,42452.0,42836.0,-8.553611,0
2020-08-04 13:34:33.781865,42507.0,42836.0,-8.495105,0
2020-08-04 13:34:33.786874,42507.0,42836.0,-8.554685000000001,0
2020-08-04 13:34:33.792893,42562.0,42836.0,-8.628067,0
2020-08-04 13:34:33.797897,42562.0,42836.0,-8.557544,0
2020-08-04 13:34:33.803860,42616.0,42836.0,-8.343076,0
2020-08-04 13:34:33.809860,42616.0,43030.0,-8.308415,0
2020-08-04 13:34:33.814861,42668.0,43030.0,-8.387777999999999,0
2020-08-04 13:34:33.819863,42668.0,43030.0,-8.660259,0
2020-08-04 13:34:33.825860,42720.0,43030.0,-8.849606,0
2020-08-04 13:34:33.830861,42720.0,43030.0,-8.806955,0
2020-08-04 13:34:33.835863,42772.0,43030.0,-8.609316999999999,0
2020-08-04 13:34:33.840863,42772.0,43030.0,-8.38851,0
2020-08-04 13:34:33.845869,42823.0,43030.0,-8.399221,0
2020-08-04 13:34:33.851862,42823.0,43214.0,-8.474053999999999,0
2020-08-04 13:34:33.856863,42873.0,43214.0,-8.503414,0
2020-08-04 13:34:33.862861,42873.0,43214.0,-8.37536,0
2020-08-04 13:34:33.867862,42922.0,43214.0,-8.303783000000001,0
2020-08-04 13:34:33.873902,42922.0,43214.0,-8.309215,0
2020-08-04 13:34:33.879861,42971.0,43214.0,-8.459635,0
2020-08-04 13:34:33.884864,42971.0,43214.0,-8.494119,0
2020-08-04 13:34:33.891872,43019.0,43214.0,-8.476078,0
2020-08-04 13:34:33.896889,43019.0,43388.0,-8.298480999999999,0
2020-08-04 13:34:33.902866,43066.0,43388.0,-8.076345,0
2020-08-04 13:34:33.908863,43066.0,43388.0,-7.887146,0
2020-08-04 13:34:33.914862,43112.0,43388.0,-7.827688,0
2020-08-04 13:34:33.920872,43112.0,43388.0,-7.9393600000000015,0
2020-08-04 13:34:33.926861,43158.0,43388.0,-8.04824,0
2020-08-04 13:34:33.931867,43158.0,43388.0,-8.094441,0
2020-08-04 13:34:33.937862,43203.0,43388.0,-8.051286,0
2020-08-04 13:34:33.943860,43203.0,43551.0,-7.718225,0
2020-08-04 13:34:33.948862,43247.0,43551.0,-7.6826050000000015,0
2020-08-04 13:34:33.954895,43247.0,43551.0,-7.572956,0
2020-08-04 13:34:33.960891,43291.0,43551.0,-7.610997,0
2020-08-04 13:34:33.965950,43291.0,43551.0,-7.612709,0
2020-08-04 13:34:33.971862,43334.0,43551.0,-7.673773,0
2020-08-04 13:34:33.976892,43334.0,43551.0,-7.501582000000001,0
2020-08-04 13:34:33.982862,43377.0,43551.0,-7.446411,0
2020-08-04 13:34:33.987893,43377.0,43703.0,-7.540831,0
2020-08-04 13:34:33.992897,43418.0,43703.0,-7.6577199999999985,0
2020-08-04 13:34:33.998861,43418.0,43703.0,-7.825664,0
2020-08-04 13:34:34.003892,43459.0,43703.0,-7.838744,0
2020-08-04 13:34:34.009862,43459.0,43703.0,-7.7367589999999975,0
2020-08-04 13:34:34.014864,43500.0,43703.0,-7.496814,0
2020-08-04 13:34:34.019906,43500.0,43703.0,-7.246171,0
2020-08-04 13:34:34.025896,43539.0,43703.0,-7.150146,0
2020-08-04 13:34:34.030938,43539.0,43844.0,-7.193345,0
2020-08-04 13:34:34.036945,43578.0,43844.0,-7.261767999999999,0
2020-08-04 13:34:34.041949,43578.0,43844.0,-7.454105999999999,0
2020-08-04 13:34:34.047948,43616.0,43844.0,-7.635203,0
2020-08-04 13:34:34.053897,43616.0,43844.0,-7.5759360000000004,0
2020-08-04 13:34:34.059898,43654.0,43844.0,-7.557144,0
2020-08-04 13:34:34.064899,43654.0,43844.0,-7.361402,0
2020-08-04 13:34:34.070862,43691.0,43844.0,-7.279748,0
2020-08-04 13:34:34.075958,43691.0,43975.0,-7.088572999999999,0
2020-08-04 13:34:34.080968,43727.0,43975.0,-7.0836179999999995,0
